URL,size,Outgoing Links,Content-Type
https://www.dailymail.co.uk/news/article-6721135/Gwyneth-Paltrow-opens-fraught-relationship-Harvey-Weinstein.html,542675,955,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/nhs/index.html,676857,1115,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6723609/Simply-washing-hands-public-soap-dispenser-leave-deadly-flesh-eating-bacteria.html,522857,952,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6723049/John-Wayne-interview-Playboy-makes-racist-homophobic-comments-resurfaces.html,545301,961,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6726229/Muellers-Russia-report-soon-week.html,526661,952,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6726809/Hilarious-photo-shows-crested-pigeon-perched-fridge-Woolies.html,518001,952,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6727285/Councils-spend-150m-year-caring-4-500-child-refugees.html,522602,950,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6721871/Barack-Obama-dines-Steph-Curry-Chrissy-Teigen-John-Legend.html,526450,955,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6724611/MBE-awarded-Park-Shop-tycoon-59-caught-stumbling-drunk-Mini-Cooper.html,518705,950,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6724023/amp/Will-ISIS-bride-Shamima-Begum-use-BABY-door-Britain.html,357367,786,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6720113/Spare-bulls-Don-Jr-lays-Alec-Baldwin-SNL-row.html,529387,957,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6720645/Acid-tongued-Karl-Lagerfelds-shocking-remarks.html,545731,956,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6727345/Retailers-Ireland-UK-issue-stark-no-deal-Brexit-warning.html,519011,952,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6725249/Iranian-refugee-starred-national-TV-campaign-charged-36million-ice-importation-conspiracy.html,514327,950,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6722863/The-Latest-2-brothers-meet-police-Smollett-case.html,562945,962,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6722005/Amazon-delivery-driver-walked-pedigree-miniature-Schnauzer.html,517883,950,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6725939/Fox-stands-Jussie-Smollett-says-not-written-Empire.html,553227,958,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6720221/American-ISIS-bride-face-60-YEARS-jail-returns-US.html,529414,960,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6725391/Shocking-moment-trooper-orders-man-car-gunpoint-traffic-stop-Delaware.html,527827,954,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/mostread/index.html?channel=news,544374,653,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6725227/Lancashire-adventure-seeker-abseils-active-volcano-doing-HANDSTAND-edge.html,524252,952,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6727589/CHRISTOPHER-STEVENS-reviews-Farming-Life-BBC2-Heartbreak-three-pigs-turn-sausages.html,514026,949,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6723191/BBC-Springwatchs-CHRIS-PACKHAM-tells-Britons-tackle-litter-MILLIONS-UK-animals-die-year.html,521615,952,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6727169/Police-300-cannabis-plants-6-4-million-house-Sydneys-Mosman.html,170730,203,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6718893/Downing-Street-snubs-Donald-Trumps-demand-Britain-takes-ISIS-fighters.html,529230,956,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6721275/My-life-Lee-Radziwill-Daughter-law-RHONY-star-Carole-reveals-bond.html,544503,958,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6725655/Patrick-Frazee-knocked-Kelsey-Berreths-teeth-murder-toddler-sat-playpen.html,548569,953,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6715395/Smollett-developments-leave-baffled-outraged.html,534253,951,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6727537/Memorial-Westminster-terror-attack-victim-PC-Palmer-unveiled-outside-Houses-Parliament.html,515434,951,text/html;charset=UTF-8
